"ID","Status","Comment"
"client-data-schema","pass",
"client-data-schema-accept-extras","pass",
"client-data-schema-no-extras","pass",
"client-uri-template","pass",
"server-data-schema","not-impl","this is a server test"
"server-data-schema-extras","not-impl","this is a server test"
"server-uri-template","not-impl","this is a server test"
"td-content-type-default","pass",
"td-data-schema-objects","not-impl","this is a server test"
"td-form-protocolbindings","not-impl","this is a server test"
"td-media-type","not-impl","this is a server test"
"td-idempotent-safe-default","pass",
"td-readOnly-observable-writeOnly-default","not-impl",
"td-security-binding","not-impl","this is a server test"
"td-security-no-extras","not-impl","this is a server test"
"td-default-readOnly","pass",
"td-default-writeOnly","pass",
"td-default-observable","not-impl",
"td-default-contentType","pass",
"td-default-safe","pass",
"td-default-idempotent","pass",
"td-default-in-1","not-impl",
"td-default-in-2","not-impl",
"td-default-qop","not-impl",
"td-default-alg","not-impl",
"td-default-format","not-impl",
"td-default-flow","not-impl",
