"ID","Status","Comment"
"client-data-schema","null","not testable with Assertion Tester"
"client-data-schema-accept-extras","null","not testable with Assertion Tester"
"client-data-schema-no-extras","null","not testable with Assertion Tester"
"client-uri-template","null","not testable with Assertion Tester"
"rdf-transformation","null","not testable with Assertion Tester; is this even an assertion?"
"server-data-schema","null","not testable with Assertion Tester"
"server-data-schema-extras","null","not testable with Assertion Tester"
"server-uri-template","null","not testable with Assertion Tester"
"td-content-type-default","null","not testable with Assertion Tester"
"td-context-ns-multilanguage-content-negotiation","null","not testable with Assertion Tester"
"td-context-ns-thing-dereferenceable-url","null","testing will be added"
"td-context-ns-thing-mandatory","null","testing will be added"
"td-context-ns-thing-map-of-namespaces","null","testing will be added"
"td-context-ns-thing-optional","null","testing will be added"
"td-context-ns-thing-prefix","null","testing will be added"
"td-data-schema-objects","null","broken assertion, do not fill"
"td-default-alg--PoPSecurityScheme","null","not testable with Assertion Tester"
"td-default-alg--BearerSecurityScheme","null","not testable with Assertion Tester"
"td-default-contentType","null","not testable with Assertion Tester"
"td-default-context-of-thing","null","not testable with Assertion Tester"
"td-default-flow--OAuth2SecurityScheme","null","not testable with Assertion Tester"
"td-default-format--BearerSecurityScheme","null","not testable with Assertion Tester"
"td-default-format--PoPSecurityScheme","null","not testable with Assertion Tester"
"td-default-idempotent","null","not testable with Assertion Tester"
"td-default-in--BasicSecurityScheme","null","not testable with Assertion Tester"
"td-default-in--DigestSecurityScheme","null","not testable with Assertion Tester"
"td-default-in--BearerSecurityScheme","null","not testable with Assertion Tester"
"td-default-in--PoPSecurityScheme","null","not testable with Assertion Tester"
"td-default-in--APIKeySecurityScheme","null","not testable with Assertion Tester"
"td-default-qop--DigestSecurityScheme","null","not testable with Assertion Tester"
"td-default-op-actions","null","not testable with Assertion Tester"
"td-default-op-events","null","not testable with Assertion Tester"
"td-default-op-properties","null","not testable with Assertion Tester"
"td-default-safe","null","not testable with Assertion Tester"
"td-form-protocolbindings","null","not testable with Assertion Tester"
"td-media-type","null","not testable with Assertion Tester"
"td-security-binding","null","not testable with Assertion Tester"
"td-security-no-extras","null","not testable with Assertion Tester"
