"ID","Status","Comment"
"client-data-schema","not-impl",
"client-data-schema-accept-extras","not-impl",
"client-data-schema-no-extras","not-impl",
"client-uri-template","not-impl",
"rdf-transformation","not-impl",
"server-data-schema","fail",
"server-data-schema-extras","pass",
"server-uri-template","not-impl",
"td-context-ns-dataschema-dereferenceable-url","not-impl",
"td-context-ns-dataschema-mandatory","not-impl",
"td-context-ns-dataschema-map-of-namespaces","not-impl",
"td-context-ns-dataschema-optional","not-impl",
"td-context-ns-dataschema-prefix","not-impl",
"td-context-ns-multilanguage-content-negotiation","not-impl",
"td-context-ns-securityscheme-dereferenceable-url","not-impl",
"td-context-ns-securityscheme-mandatory","not-impl",
"td-context-ns-securityscheme-map-of-namespaces","not-impl",
"td-context-ns-securityscheme-optional","not-impl",
"td-context-ns-securityscheme-prefix","not-impl",
"td-context-ns-thing-dereferenceable-url","not-impl",
"td-context-ns-thing-mandatory","not-impl",
"td-context-ns-thing-map-of-namespaces","not-impl",
"td-context-ns-thing-optional","not-impl",
"td-context-ns-thing-prefix","not-impl",
"td-content-type-default","not-impl",
"td-data-schema-objects","not-impl",
"td-form-protocolbindings","not-impl",
"td-media-type","not-impl",
"td-idempotent-safe-default","not-impl",
"td-readOnly-observable-writeOnly-default","not-impl",
"td-security-binding","pass",
"td-security-no-extras","not-impl",
"td-default-readOnly","not-impl",
"td-default-writeOnly","not-impl",
"td-default-observable","not-impl",
"td-default-contentType","pass",
"td-default-safe","not-impl",
"td-default-idempotent","not-impl",
"td-default-in-1","pass",
"td-default-in-2","not-impl",
"td-default-qop","not-impl",
"td-default-alg","not-impl",
"td-default-format","not-impl",
"td-default-flow","not-impl",
"td-actions","not-impl",
"td-actions_uniqueness","not-impl",
"td-arrays","fail",
"td-arrays_security","fail",
"td-context-toplevel","fail",
"td-default-alg--BearerSecurityScheme","null",
"td-default-alg--PoPSecurityScheme","null",
"td-default-context-of-dataschema","null",
"td-default-context-of-securityscheme","null",
"td-default-context-of-thing","null",
"td-default-flow--OAuth2SecurityScheme","null",
"td-default-format--BearerSecurityScheme","null",
"td-default-format--PoPSecurityScheme","null",
"td-default-in--APIKeySecurityScheme","null",
"td-default-in--BasicSecurityScheme","null",
"td-default-in--BearerSecurityScheme","null",
"td-default-in--DigestSecurityScheme","null",
"td-default-in--PoPSecurityScheme","null",
"td-default-op-actions","null",
"td-default-op-events","null",
"td-default-op-properties","null",
"td-default-qop--DigestSecurityScheme","null",
"td-events","not-impl",
"td-events_uniqueness","not-impl",
"td-objects","fail",
"td-objects_securityDefinitions","fail",
"td-properties","pass",
"td-properties_uniqueness","pass",
"td-security-mandatory","fail",
"td-security-schemes","fail",
"td-security-schemes_scheme","fail",
"td-unique-identifiers","pass",
"td-vocab-id--Thing","fail",
"td-vocab-name--Thing","fail",
"td-vocab-security--Thing","fail",
"td-vocab-securityDefinitions--Thing","fail",
"td-vocabulary","fail",
