"ID","Status"
"td-vocabulary","pass"
"td-unique-identifiers","pass"
"td-jsonld-keywords","pass"
"td-string-type","pass"
"td-integer-type","pass"
"td-number-type","pass"
"td-context","pass"
"td-context-jsonld","pass"
"td-additional-contexts","not-impl"
"td-context-toplevel","pass"
"td-objects","pass"
"td-arrays","pass"
"td-properties","pass"
"td-property-names","pass"
"td-property-objects","pass"
"td-property-arrays","pass"
"td-property-semantic","not-impl"
"td-property-defaults","null"
"td-actions","pass"
"td-action-names","pass"
"td-action-objects","pass"
"td-action-arrays","pass"
"td-action-semantic","pass"
"td-events","not-impl"
"td-event-names","not-impl"
"td-event-objects","not-impl"
"td-event-arrays","not-impl"
"td-event-semantic","not-impl"
"td-forms","pass"
"td-event-response-arrays","null"
"td-form-protocolbindings","pass"
"td-form-contenttype","pass"
"td-forms-response","null"
"td-links","not-impl"
"td-security","pass"
"td-security-mandatory","pass"
"td-security-overrides","not-impl"
"td-security-binding","not-impl"
"td-security-no-extras","not-impl"
"td-version","not-impl"
"td-media-type","pass"
"td-readOnly-observable-default","pass"
"td-content-type-default","pass"
"td-jsonld-preprocessing-context","pass"
"td-jsonld-preprocessing-prefix","pass"
"td-jsonld-preprocessing-defaults","pass"
"td-vocab-links","null"
"td-vocab-created","null"
"td-vocab-version","null"
"td-vocab-security","null"
"td-vocab-events","null"
"td-vocab-description","null"
"td-vocab-name","null"
"td-vocab-actions","null"
"td-vocab-securityDefinitions","null"
"td-vocab-support","null"
"td-vocab-base","null"
"td-vocab-lastModified","null"
"td-vocab-properties","null"
"td-vocab-uriVariables","null"
"td-vocab-forms","null"
"td-vocab-scopes","null"
"td-vocab-title","null"
"td-vocab-observable","null"
"td-vocab-idempotent","null"
"td-vocab-output","null"
"td-vocab-input","null"
"td-vocab-safe","null"
"td-vocab-subscription","null"
"td-vocab-data","null"
"td-vocab-cancellation","null"
"td-vocab-href","null"
"td-vocab-response","null"
"td-vocab-contentType","null"
"td-vocab-subprotocol","null"
"td-vocab-op","null"
"td-vocab-rel","null"
"td-vocab-type","null"
"td-vocab-anchor","null"
"td-vocab-instance","null"
"td-vocab-readOnly","null"
"td-vocab-enum","null"
"td-vocab-const","null"
"td-vocab-writeOnly","null"
"td-vocab-oneOf","null"
"td-vocab-unit","null"
"td-vocab-maxItems","null"
"td-vocab-items","null"
"td-vocab-minItems","null"
"td-vocab-minimum","null"
"td-vocab-maximum","null"
"td-vocab-required","null"
"td-vocab-scheme","null"
"td-vocab-proxy","null"
"td-vocab-in","null"
"td-vocab-qop","null"
"td-vocab-authorization","null"
"td-vocab-alg","null"
"td-vocab-format","null"
"td-vocab-identity","null"
"td-vocab-refresh","null"
"td-vocab-token","null"
"td-vocab-flow","null"
"client-data-schema","null"
"client-uri-template","null"
